Field,Species,Experiment,Revised_irrigation_treatment,Range,Column,Plot,Rep,Type,SbEMS_ID,PI_accession,Harvest_Id,PI_check,,
south,Sorghum bicolor,EMS_pop,WW,06,12,0612,1,experimental,1251,PI 678012,WL19_FL58_SbEMS_BL455,PI 678012,,
south,Sorghum bicolor,EMS_pop,WW,06,13,0613,1,experimental,1773,PI 678069,WL19_FL58_SbEMS_BL597,PI 678069,,
south,Sorghum bicolor,EMS_pop,WW,06,14,0614,1,experimental,4692,PI 678357,WL19_FL58_SbEMS_BL441,PI 678357,,
south,Sorghum bicolor,EMS_pop,WW,06,15,0615,1,experimental,1767,PI 678065,WL19_FL58_SbEMS_BL123,PI 678065,,
south,Sorghum bicolor,EMS_pop,WW,06,16,0616,1,experimental,1508,PI 678037,WL19_FL58_SbEMS_BL51,PI 678037,,
south,Sorghum bicolor,EMS_pop,WW,06,17,0617,1,experimental,1663,PI 678055,WL19_FL58_SbEMS_BL522,PI 678055,,
south,Sorghum bicolor,EMS_pop,WW,06,18,0618,1,experimental,1147,PI 678001,WL19_FL58_SbEMS_BL298,PI 678001,,
south,Sorghum bicolor,EMS_pop,WW,06,19,0619,1,experimental,1454,PI 678031,WL19_FL58_SbEMS_BL289,PI 678031,,
south,Sorghum bicolor,EMS_pop,WW,06,20,0620,1,experimental,2676,PI 678152,WL19_FL58_SbEMS_BL260,PI 678152,,
south,Sorghum bicolor,EMS_pop,WW,06,21,0621,1,experimental,2716,PI 678157,WL19_FL58_SbEMS_BL59,PI 678157,,
south,Sorghum bicolor,EMS_pop,WW,06,22,0622,1,experimental,935,PI 677982,WL19_FL58_SbEMS_BL461,PI 677982,,
south,Sorghum bicolor,EMS_pop,WW,06,23,0623,1,experimental,1092,PI 677996,WL19_FL58_SbEMS_BL498,PI 677996,,
south,Sorghum bicolor,EMS_pop,WW,06,24,0624,1,experimental,454,PI 677923,WL19_FL58_SbEMS_BL438,PI 677923,,
south,Sorghum bicolor,EMS_pop,WW,06,25,0625,1,experimental,61,PI 677890,WL19_FL58_SbEMS_BL525,PI 677890,,
south,Sorghum bicolor,EMS_pop,WW,06,26,0626,1,experimental,561,PI 677935,WL19_FL58_SbEMS_BL556,PI 677935,,
